CUSTOMER_ID,COLLEGE,DATA,INCOME,OVERCHARGE,LEFTOVER,HOUSE,LESSTHAN600k,CHILD,JOB_CLASS,REVENUE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,TIME_CLIENT,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,CHURNED
C100041,zero,1050.0,33497.5,0,0,251737,True,2,1,87.0,254,3,2.5,14,very_unsat,very_high,never_thought,STAY
C100043,zero,960.0,45084.5,0,28,502805,True,1,2,232.0,274,0,1.2,2,very_unsat,very_little,never_thought,LEAVE
C100044,zero,2880.0,67189.5,0,15,287024,True,1,4,175.0,457,0,8.6,5,very_unsat,little,no,STAY
C100045,one,1140.0,16707.0,0,0,232877,True,2,4,195.0,188,0,3.8,6,very_sat,very_high,actively_looking_into_it,STAY
C100048,zero,211.47540983606558,27285.5,0,51,233576,True,3,4,125.0,352,0,4.3,1,very_unsat,little,considering,LEAVE
C100050,zero,376.1755485893417,70389.0,219,0,675911,False,0,3,153.0,265,0,4.0,5,very_unsat,little,considering,STAY
C100051,zero,538.4615384615386,31166.5,173,0,536064,True,1,4,139.0,209,28,2.9,10,very_unsat,little,considering,LEAVE
C100053,zero,570.0,79768.0,0,63,738333,False,1,2,205.0,896,0,1.9,1,unsat,very_little,considering,LEAVE
C100056,zero,894.7368421052631,82913.5,71,0,248208,True,3,4,166.0,582,5,6.1,10,unsat,very_high,considering,STAY
C100058,zero,356.5217391304347,82305.0,245,0,534989,True,3,2,142.0,440,10,2.1,13,avg,very_little,actively_looking_into_it,LEAVE
C100059,one,217.82178217821786,26919.0,63,14,781766,False,3,2,176.0,248,4,1.2,6,avg,avg,no,STAY
C100060,zero,181.8181818181818,22143.5,0,23,409048,True,3,1,147.0,241,4,2.0,5,unsat,very_high,considering,STAY
C100063,zero,803.2786885245903,29797.5,83,20,169357,True,1,4,145.0,222,5,4.9,5,unsat,avg,no,STAY
C100064,zero,146.0446247464503,63650.0,56,83,750416,False,2,2,133.0,588,5,3.8,1,very_sat,little,actively_looking_into_it,LEAVE
C100065,one,466.4310954063605,89747.5,183,0,529329,True,1,1,111.0,610,13,2.4,10,very_unsat,little,never_thought,LEAVE
C100067,zero,319.1489361702128,64057.0,88,86,572232,True,0,2,134.0,409,27,3.0,1,unsat,little,considering,STAY
C100068,zero,156.4625850340136,30425.0,171,17,211509,True,2,1,227.0,185,0,3.3,6,very_unsat,little,considering,STAY
C100070,zero,227.27272727272725,18265.0,0,23,310288,True,5,4,253.0,204,1,1.5,4,unsat,very_little,no,LEAVE
C100071,one,1320.0000000000002,50355.0,0,0,,,1,1,325.0,417,1,4.4,15,unsat,little,considering,STAY
C100073,one,178.63397548161123,20758.0,51,42,673115,False,3,1,121.0,136,4,2.4,2,very_unsat,high,considering,STAY
C100074,zero,750.0,44796.0,0,8,743903,False,1,1,102.0,388,0,2.5,4,unsat,very_high,considering,STAY
C100075,one,456.52173913043475,24633.5,66,11,700297,False,3,3,111.0,338,4,4.2,2,unsat,very_high,never_thought,STAY
C100077,one,1200.0,15648.5,0,0,206623,True,2,2,194.0,643,1,2.0,14,very_sat,very_little,no,LEAVE
C100078,one,23.830538393645185,50013.0,223,81,689056,False,3,4,143.0,369,29,0.9,2,very_unsat,little,actively_looking_into_it,LEAVE
C100079,zero,561.4035087719299,37956.0,71,84,479893,True,0,3,144.0,358,4,1.2,1,unsat,very_high,no,LEAVE
C100080,zero,134.020618556701,45751.0,191,24,,,1,1,143.0,292,16,2.3,1,very_unsat,very_little,considering,STAY
C100081,one,137.48531139835484,47284.0,61,69,392276,True,2,4,95.0,375,3,1.9,2,very_unsat,very_high,perhaps,LEAVE
C100082,zero,148.14814814814815,39247.0,62,20,553666,True,1,2,110.0,315,5,1.8,4,very_unsat,high,never_thought,STAY
C100083,one,480.0,19274.5,0,0,701381,False,3,1,160.0,172,1,1.6,9,unsat,little,no,STAY
C100084,one,1136.3636363636363,22225.5,32,0,823570,False,3,2,102.0,176,5,5.0,15,very_unsat,very_little,considering,STAY
C100086,one,313.04347826086956,11091.0,0,13,778878,False,4,2,134.0,135,0,2.4,5,avg,high,considering,STAY
C100087,zero,241.61073825503348,67392.5,187,16,916271,False,4,2,145.0,274,28,4.6,4,very_unsat,very_high,never_thought,STAY
C100088,zero,321.83908045977,37685.0,161,23,186143,True,1,3,185.0,192,28,2.8,5,unsat,very_little,no,STAY
C100090,zero,309.3749999999999,13849.5,0,22,702366,False,4,1,149.0,154,1,2.3,4,very_sat,very_high,considering,STAY
C100091,one,1920.0,62502.5,0,0,264314,True,3,3,187.0,717,0,4.4,5,very_unsat,very_high,considering,LEAVE
C100092,one,1470.0000000000002,76307.0,0,0,582408,True,4,1,172.0,414,1,4.9,15,very_unsat,little,actively_looking_into_it,STAY
C100093,zero,149.62593516209478,76216.0,181,12,206205,True,4,4,166.0,411,29,2.0,5,unsat,very_little,no,STAY
C100094,one,615.7894736842105,33685.5,90,0,308751,True,4,4,191.0,216,3,3.9,8,very_sat,very_little,actively_looking_into_it,LEAVE
C100097,one,73.29842931937173,82519.5,226,82,557574,True,3,3,185.0,819,11,2.8,1,avg,little,actively_looking_into_it,STAY
C100098,zero,1560.0,37671.0,0,0,897371,False,3,4,183.0,361,0,4.2,11,avg,very_high,actively_looking_into_it,STAY
C100099,one,900.0,42779.0,0,0,887345,False,1,3,137.0,386,0,2.0,4,very_unsat,very_high,considering,LEAVE
C100102,zero,235.84905660377356,38098.5,218,84,768443,False,0,2,110.0,232,15,3.5,2,very_unsat,very_high,perhaps,STAY
C100103,one,766.6666666666666,21884.5,0,8,266894,True,2,1,144.0,131,0,4.6,4,avg,very_high,considering,STAY
C100104,zero,122.36842105263159,18731.5,0,66,250641,True,3,2,158.0,182,16,4.1,5,very_sat,very_little,never_thought,STAY
C100105,zero,168.22429906542055,44257.5,221,0,204100,True,0,1,162.0,131,14,2.8,14,very_unsat,avg,actively_looking_into_it,STAY
C100106,one,394.7368421052631,19364.5,56,11,166645,True,3,2,116.0,145,4,3.5,6,avg,very_little,considering,LEAVE
C100109,one,586.9565217391305,70333.0,86,9,547665,True,2,2,142.0,779,5,4.4,4,very_sat,high,never_thought,LEAVE
C100110,one,143.20685434516523,71320.5,27,69,879129,False,4,4,210.0,673,5,2.9,2,very_unsat,very_high,actively_looking_into_it,STAY
C100111,one,372.9729729729729,71052.5,85,27,760117,False,0,2,134.0,485,3,2.3,2,very_unsat,little,actively_looking_into_it,LEAVE
C100112,one,678.082191780822,57209.0,46,0,730866,False,1,4,155.0,636,5,2.3,6,unsat,very_little,no,STAY
C100114,zero,415.09433962264154,26922.0,59,0,184307,True,2,1,113.0,135,4,1.2,12,very_unsat,little,considering,STAY
C100117,one,121.62162162162161,93772.0,186,38,296729,True,5,3,148.0,525,14,2.7,2,avg,very_high,considering,LEAVE
C100119,zero,434.3434343434343,73691.5,197,0,196471,True,4,3,128.0,826,29,2.3,8,very_unsat,very_high,no,LEAVE
C100120,zero,114.44141689373296,48744.5,167,10,459343,True,2,2,110.0,304,29,2.4,1,very_sat,little,no,STAY
C100121,one,689.9999999999999,19057.0,0,0,773128,False,2,4,118.0,145,0,2.3,11,very_unsat,very_little,considering,LEAVE
C100122,one,295.1945080091533,57198.0,207,13,326356,True,2,3,103.0,298,21,3.3,5,avg,little,actively_looking_into_it,LEAVE
C100123,zero,118.29134720700989,41547.5,183,63,476474,True,3,2,127.0,176,25,1.6,1,very_unsat,very_little,no,LEAVE
C100125,zero,226.66666666666669,32821.0,210,14,882361,False,5,4,150.0,215,18,3.4,4,very_sat,little,perhaps,STAY
C100126,zero,300.0,49216.0,0,38,360487,True,1,4,184.0,256,1,2.0,1,very_sat,very_high,actively_looking_into_it,STAY
C100127,one,165.44117647058823,37096.5,72,10,888736,False,3,2,146.0,347,4,0.5,5,avg,avg,actively_looking_into_it,STAY
C100128,zero,828.9473684210527,62635.0,52,54,201006,True,1,3,130.0,804,3,3.2,2,very_unsat,little,actively_looking_into_it,LEAVE
C100129,zero,269.99999999999994,23384.0,0,22,511965,True,1,4,295.0,234,1,1.9,5,very_sat,very_little,considering,STAY
C100130,one,165.06189821182946,51717.0,207,42,159947,True,2,4,162.0,301,16,3.0,1,sat,very_little,considering,LEAVE
C100131,one,409.9378881987578,29217.0,61,0,518661,True,2,4,185.0,242,3,1.2,10,very_sat,little,actively_looking_into_it,STAY
C100132,zero,459.1836734693877,62091.5,64,13,915818,False,3,1,133.0,612,4,3.5,10,unsat,little,no,LEAVE
C100133,zero,262.49999999999994,33432.5,0,6,755212,False,5,2,190.0,346,1,2.4,5,very_unsat,very_little,considering,STAY
C100136,one,216.60649819494586,35366.0,177,17,206182,True,1,4,165.0,548,20,2.0,15,very_unsat,very_little,considering,LEAVE
C100137,one,116.99164345403901,34179.5,209,5,624951,False,2,1,227.0,145,29,1.4,5,very_unsat,avg,no,STAY
C100138,zero,895.8333333333335,84100.0,44,19,889550,False,0,4,235.0,639,4,3.3,4,unsat,very_little,considering,STAY
C100139,one,870.0,40001.0,0,19,314857,True,1,1,206.0,368,1,1.9,4,avg,very_high,actively_looking_into_it,LEAVE
C100141,one,369.0851735015773,32995.0,217,33,789335,False,0,4,139.0,289,23,1.9,1,unsat,avg,considering,LEAVE
C100143,one,327.0676691729323,52127.5,166,0,370110,True,3,3,183.0,297,25,2.9,15,very_sat,high,perhaps,LEAVE
C100144,one,482.14285714285717,42171.5,236,26,175258,True,1,1,197.0,427,14,3.4,1,very_unsat,little,considering,LEAVE
C100145,zero,158.94039735099338,82321.5,51,0,461754,True,2,4,123.0,451,4,0.8,11,very_sat,very_little,perhaps,STAY
C100147,zero,196.875,36262.5,220,0,683624,False,3,2,179.0,145,26,2.1,14,sat,little,never_thought,STAY
C100148,one,210.52631578947364,63703.0,69,23,849499,False,4,4,147.0,490,4,1.8,5,very_unsat,very_high,actively_looking_into_it,STAY
C100149,zero,338.98305084745766,19067.5,77,0,206700,True,3,2,100.0,246,4,3.0,10,sat,very_little,considering,STAY
C100150,one,111.11111111111111,61298.5,197,6,805908,False,0,4,134.0,289,28,1.1,4,very_unsat,little,considering,LEAVE
C100151,zero,919.9999999999999,23701.5,0,5,385948,True,3,3,400.0,216,1,5.6,4,avg,little,considering,STAY
C100152,one,1740.0,51742.0,0,0,272519,True,3,1,219.0,808,1,4.8,9,very_unsat,little,considering,LEAVE
C100153,zero,442.1052631578947,11177.0,0,9,168711,True,4,1,198.0,231,1,2.8,6,very_unsat,very_high,no,STAY
C100154,one,930.0,29008.0,0,0,212871,True,0,3,185.0,349,1,3.1,10,very_sat,little,never_thought,STAY
C100155,one,812.1546961325967,83680.0,81,28,168672,True,0,2,96.0,555,5,3.9,2,very_unsat,little,considering,LEAVE
C100156,one,472.72727272727275,10535.0,0,23,220329,True,3,1,116.0,133,1,5.2,4,very_unsat,very_high,considering,STAY
C100157,zero,0.0,38356.5,0,19,356309,True,2,4,152.0,264,0,1.0,4,avg,high,considering,STAY
C100159,zero,511.7647058823529,59840.5,70,0,929648,False,3,4,207.0,615,5,2.9,10,avg,little,never_thought,STAY
C100160,zero,750.0,69646.5,0,0,471466,True,2,1,154.0,870,1,1.5,8,very_sat,high,never_thought,STAY
C100163,one,356.87732342007433,37508.5,169,0,551256,True,2,3,113.0,232,18,2.2,15,very_unsat,high,never_thought,LEAVE
C100164,zero,191.48936170212764,30927.5,182,0,440125,True,3,3,129.0,222,29,1.8,9,unsat,little,considering,LEAVE
C100165,zero,604.31654676259,21496.5,39,87,246568,True,1,4,146.0,153,4,1.8,10,unsat,very_little,actively_looking_into_it,LEAVE
C100166,one,477.7070063694268,21799.0,57,0,202262,True,0,4,118.0,160,4,3.5,9,very_sat,little,never_thought,STAY
C100169,one,1020.0,25887.5,0,0,195152,True,2,2,235.0,296,0,2.4,9,very_unsat,very_high,perhaps,LEAVE
C100171,zero,1410.0,41508.5,0,30,241329,True,0,2,99.0,261,1,2.7,1,avg,very_high,actively_looking_into_it,LEAVE
C100172,one,677.1159874608152,42694.0,219,41,395289,True,0,1,209.0,240,22,6.2,1,sat,little,actively_looking_into_it,STAY
C100175,one,163.79310344827584,70282.0,248,0,699052,False,2,4,161.0,398,27,1.9,14,very_unsat,very_high,considering,STAY
C100176,one,345.39473684210526,88880.5,204,67,398612,True,1,2,183.0,148,3,4.5,2,very_unsat,little,considering,STAY
C100178,one,63.15789473684209,73778.0,0,9,199739,True,4,3,116.0,173,1,1.4,5,very_unsat,little,actively_looking_into_it,STAY
C100180,zero,212.5984251968504,32944.5,84,7,653273,False,4,2,210.0,156,3,2.8,6,unsat,very_little,considering,STAY
C100181,zero,1640.0,58761.5,50,0,778515,False,4,4,172.0,559,4,7.2,11,very_sat,very_high,considering,LEAVE
C100182,zero,244.60431654676262,53858.0,54,68,678440,False,2,3,120.0,255,3,5.8,2,very_sat,little,never_thought,STAY
C100183,zero,272.72727272727275,67365.0,230,0,166815,True,2,4,122.0,352,16,2.0,13,very_sat,high,considering,STAY
C100184,zero,870.0,15492.5,0,0,873611,False,1,1,152.0,213,0,3.9,11,unsat,high,actively_looking_into_it,STAY
C100185,zero,334.3373493975904,69395.0,232,62,370332,True,0,3,111.0,355,26,4.7,1,unsat,little,considering,STAY
C100186,one,169.81132075471697,49981.0,171,10,240203,True,2,1,124.0,320,27,2.1,4,very_unsat,little,no,LEAVE
C100187,one,509.433962264151,28631.5,59,0,720778,False,3,3,152.0,167,3,3.7,9,very_sat,high,no,STAY
C100188,one,83.81502890173411,34926.0,58,88,823993,False,3,3,147.0,394,4,2.9,1,very_sat,very_high,no,STAY
C100190,zero,1529.9999999999998,43278.0,0,0,613105,False,1,1,261.0,290,3,5.1,13,very_sat,very_little,considering,STAY
C100192,one,200.7434944237918,60117.0,169,57,865878,False,1,3,237.0,333,0,2.8,2,very_unsat,high,considering,STAY
C100195,zero,614.0350877192982,30002.0,71,76,352621,True,1,2,163.0,132,5,3.5,2,very_sat,very_high,no,STAY
C100197,zero,1710.0,16337.5,0,12,916741,False,1,3,127.0,229,1,4.7,4,avg,little,no,STAY
C100198,zero,720.0,57652.5,0,5,820820,False,0,2,157.0,601,4,1.4,4,unsat,high,no,STAY
C100199,zero,1710.0,24506.0,0,59,616894,False,1,1,155.0,188,1,4.7,1,unsat,little,considering,STAY
C100200,one,300.0,64523.0,0,0,395129,True,0,1,156.0,539,16,2.0,13,unsat,very_little,never_thought,STAY
C100201,zero,10.676156583629892,48151.0,232,23,752622,False,3,4,169.0,165,16,1.2,5,very_unsat,little,considering,STAY
C100202,zero,347.56097560975604,24678.0,64,0,252021,True,3,1,110.0,205,5,2.9,9,unsat,avg,considering,STAY
C100203,one,268.78612716763007,58009.0,76,17,893922,False,2,1,133.0,828,5,2.1,1,very_sat,very_high,no,STAY
C100204,zero,90.00000000000001,74722.0,0,0,191950,True,1,4,195.0,485,1,1.3,15,unsat,very_little,actively_looking_into_it,STAY
C100205,zero,88.35341365461849,42369.5,67,58,783752,False,4,1,153.0,294,3,3.2,2,very_sat,little,perhaps,STAY
C100206,one,307.1428571428571,21399.0,0,32,642405,False,3,4,188.0,142,0,5.3,1,very_unsat,very_little,perhaps,STAY
C100207,zero,917.9104477611941,50677.0,34,18,666881,False,1,2,232.0,278,3,3.1,4,very_sat,very_little,considering,STAY
C100208,zero,403.8461538461538,74464.5,56,46,181331,True,0,2,116.0,693,3,2.1,1,unsat,little,no,STAY
C100209,one,124.20382165605093,87013.0,144,7,282378,True,3,1,158.0,864,15,1.3,6,unsat,avg,considering,LEAVE
C100210,one,686.9158878504674,82294.0,44,7,227272,True,2,3,82.0,893,0,5.9,15,very_unsat,very_high,never_thought,STAY
C100211,zero,692.3076923076923,72154.5,0,16,892281,False,2,3,176.0,436,1,5.0,4,very_sat,high,no,STAY
C100213,one,192.30769230769232,60059.5,202,79,176013,True,2,2,135.0,256,21,5.0,5,very_unsat,high,no,LEAVE
C100214,zero,324.074074074074,45537.0,224,0,172600,True,1,4,139.0,190,15,1.5,12,very_unsat,very_little,actively_looking_into_it,LEAVE
C100215,zero,83.60655737704919,17470.5,0,51,721471,False,5,4,209.0,199,1,1.7,1,very_unsat,high,considering,LEAVE
C100216,one,367.7758318739054,26687.5,61,41,229062,True,3,3,115.0,150,13,6.0,1,very_unsat,very_high,actively_looking_into_it,STAY
C100218,one,293.70629370629365,90900.0,186,66,386023,True,0,1,130.0,638,0,2.8,1,very_unsat,avg,considering,STAY
C100219,zero,116.66666666666666,25112.5,0,8,193197,True,2,4,126.0,363,0,1.7,4,very_unsat,very_little,no,STAY
C100220,zero,35.29411764705882,20264.0,0,75,640360,False,4,4,143.0,247,0,2.0,1,very_unsat,very_high,no,STAY
C100221,one,233.24396782841822,47190.5,163,11,600767,False,3,3,141.0,255,19,1.9,5,very_unsat,little,never_thought,STAY
C100222,zero,540.0,32894.5,0,74,931981,False,1,3,139.0,290,1,1.8,2,unsat,very_high,considering,STAY
C100223,one,960.0,10676.0,0,0,202941,True,3,4,169.0,171,1,2.2,9,unsat,high,considering,LEAVE
C100224,one,1357.5418994413405,48676.5,79,0,555290,True,1,4,146.0,255,15,6.1,14,very_unsat,little,never_thought,LEAVE
C100225,one,620.0,87354.5,200,13,688890,False,0,2,207.0,778,11,4.2,5,very_unsat,little,perhaps,LEAVE
C100226,one,89.28571428571429,32342.0,206,87,739409,False,3,1,137.0,241,25,3.5,2,unsat,little,considering,STAY
C100227,zero,1197.8798586572439,57654.0,183,0,377333,True,0,1,149.0,144,24,9.3,2,unsat,very_high,considering,LEAVE
C100229,one,134.1358555460017,83507.0,173,89,929880,False,3,1,203.0,726,25,3.2,12,very_unsat,very_high,actively_looking_into_it,LEAVE
C100230,zero,71.875,40598.0,0,86,538464,True,3,4,92.0,227,0,1.3,2,unsat,little,actively_looking_into_it,LEAVE
C100232,one,287.5399361022364,82155.0,63,15,310077,True,2,4,257.0,629,3,2.0,6,unsat,little,considering,STAY
C100233,one,528.5714285714286,27599.5,0,11,998211,False,2,2,187.0,672,1,2.7,4,avg,little,no,STAY
C100234,one,870.0,21856.5,0,0,312170,True,3,3,223.0,245,0,1.9,13,very_unsat,avg,actively_looking_into_it,LEAVE
C100236,one,531.1475409836065,64810.0,45,16,475447,True,3,2,152.0,450,4,3.4,12,very_unsat,very_high,perhaps,LEAVE
C100238,one,510.0000000000001,49468.0,0,5,303512,True,1,2,99.0,387,1,2.7,4,unsat,little,considering,STAY
C100239,one,415.0197628458497,28710.5,153,0,435621,True,3,2,228.0,219,29,1.5,1,very_unsat,very_high,no,LEAVE
C100241,one,280.12048192771084,38015.5,232,0,283802,True,5,2,171.0,153,0,3.1,11,unsat,very_high,considering,LEAVE
C100242,one,789.4736842105265,80802.0,52,0,156117,True,2,3,209.0,451,4,3.0,11,very_unsat,very_high,actively_looking_into_it,STAY
C100243,zero,174.2738589211618,64128.5,141,23,807514,False,0,1,121.0,830,26,1.4,6,very_sat,little,actively_looking_into_it,STAY
C100244,zero,1470.0000000000002,71398.5,0,11,236155,True,1,1,200.0,594,0,2.9,6,avg,high,actively_looking_into_it,LEAVE
C100246,zero,480.0,10541.5,0,72,473181,True,1,2,157.0,231,1,1.6,1,very_unsat,very_little,actively_looking_into_it,STAY
C100249,one,413.0434782608696,49423.5,38,22,166142,True,0,1,120.0,313,3,2.9,5,very_sat,very_high,no,STAY
C100250,one,921.6867469879517,85059.5,66,0,656256,False,2,1,181.0,222,3,3.1,11,very_unsat,very_little,no,LEAVE
C100251,zero,606.8702290076335,59079.5,162,14,624867,False,1,2,147.0,363,21,5.3,5,sat,high,considering,STAY
C100252,one,510.63829787234033,64627.5,182,0,218592,True,0,1,211.0,251,12,3.8,12,unsat,little,considering,LEAVE
C100255,zero,1082.7067669172932,26767.0,33,0,319416,True,4,4,100.0,192,3,3.8,13,very_unsat,very_high,actively_looking_into_it,STAY
C100256,one,629.6296296296296,46940.0,62,0,348094,True,0,4,161.0,268,4,1.4,13,very_unsat,avg,actively_looking_into_it,LEAVE
C100257,zero,370.3703703703703,73790.0,224,48,233304,True,1,4,162.0,788,29,3.0,2,very_sat,little,considering,STAY
C100258,one,250.0,42338.5,210,5,543191,True,3,1,117.0,222,29,2.0,6,unsat,high,considering,LEAVE
C100259,one,661.3418530351438,37464.5,213,15,150581,True,1,2,162.0,161,28,4.9,6,very_unsat,little,no,LEAVE
C100260,zero,1590.0,54090.0,0,0,678421,False,0,1,176.0,180,0,4.3,14,very_unsat,very_little,actively_looking_into_it,LEAVE
C100262,zero,146.73913043478262,33287.5,0,82,611056,False,2,4,107.0,287,1,3.5,1,sat,high,never_thought,STAY
C100263,one,3180.0,62537.0,0,0,267694,True,3,1,116.0,462,1,11.6,14,unsat,little,actively_looking_into_it,STAY
C100264,one,229.00763358778624,65893.5,31,40,362455,True,0,2,133.0,429,3,2.0,1,very_unsat,very_high,considering,STAY
C100265,one,76.59574468085106,13594.0,0,37,534648,True,4,3,140.0,204,0,1.2,2,very_sat,little,actively_looking_into_it,STAY
C100266,zero,303.6437246963563,61461.5,244,15,746313,False,2,4,159.0,376,18,4.0,5,very_sat,little,no,STAY
C100268,zero,482.5174825174824,88631.0,186,0,298490,True,0,4,153.0,789,20,2.6,12,avg,avg,no,LEAVE
C100269,zero,471.26436781609186,36856.5,161,37,355147,True,1,2,106.0,346,17,3.1,1,very_unsat,very_high,considering,LEAVE
C100270,zero,247.42268041237116,40576.0,206,47,,,2,2,186.0,164,19,5.4,1,very_unsat,little,perhaps,LEAVE
C100271,zero,258.8832487309644,86903.0,74,22,586882,True,3,3,175.0,882,3,2.4,5,very_sat,high,actively_looking_into_it,STAY
C100272,one,424.9291784702549,57122.0,173,8,730144,False,2,2,140.0,335,26,5.0,4,very_unsat,little,considering,STAY
C100273,zero,289.6551724137931,12373.0,0,19,713941,False,2,4,105.0,203,18,2.8,6,unsat,little,no,STAY
C100274,zero,846.1538461538462,22492.5,56,0,349332,True,3,3,163.0,216,5,4.4,12,very_sat,very_little,actively_looking_into_it,LEAVE
C100276,zero,207.75623268698058,95616.0,181,8,615742,False,2,3,270.0,792,29,2.5,5,avg,very_little,considering,STAY
C100277,zero,1890.0,21464.0,0,78,739424,False,1,4,128.0,244,0,7.3,2,unsat,very_little,actively_looking_into_it,STAY
C100278,zero,432.8859060402685,42174.0,198,28,589837,True,1,2,149.0,219,27,3.3,2,unsat,little,considering,STAY
C100279,one,463.23529411764713,26427.0,36,0,887889,False,3,1,163.0,244,5,1.1,10,avg,little,no,STAY
C100280,one,83.33333333333333,47620.0,44,12,188892,True,0,4,148.0,151,1,1.4,4,very_sat,little,actively_looking_into_it,STAY
C100281,zero,285.2459016393443,65847.0,205,0,265957,True,3,4,103.0,300,29,3.9,11,very_unsat,little,actively_looking_into_it,STAY
C100282,one,79.67313585291114,26880.0,69,81,356417,True,4,1,167.0,247,4,1.6,1,unsat,very_high,considering,LEAVE
C100283,zero,139.39393939393938,74201.5,0,89,237271,True,2,4,159.0,624,3,2.6,1,very_sat,avg,never_thought,LEAVE
C100284,zero,532.8947368421053,85580.0,204,0,248558,True,1,3,136.0,788,18,5.4,15,very_unsat,high,considering,STAY
C100286,one,1015.0375939849623,53241.5,33,28,928820,False,1,2,230.0,335,3,2.5,1,very_unsat,very_little,actively_looking_into_it,LEAVE
C100287,zero,795.1807228915663,74351.0,66,0,362960,True,0,4,147.0,231,4,3.4,8,very_unsat,very_little,no,STAY
C100288,zero,318.70669745958423,34101.5,163,17,553814,True,3,4,122.0,174,29,3.6,6,very_unsat,little,considering,LEAVE
C100289,one,474.74747474747477,94281.5,197,0,240833,True,3,1,120.0,147,24,3.7,15,very_sat,very_little,no,LEAVE
C100290,zero,190.14084507042253,66953.5,184,0,,,3,4,103.0,340,27,2.8,10,very_unsat,very_high,considering,STAY
